,Aircraft,Cabin Staff Service,Date Flown,Food & Beverages,Ground Service,Inflight Entertainment,Recommended,Route,Seat Comfort,Seat Type,Type Of Traveller,Value For Money,Wifi & Connectivity
0,,3,April 2023,3.0,1,3.0,no,New York to London,4,Economy Class,Business,1,4.0
1,Boeing 787,2,April 2023,1.0,3,5.0,no,Singapore to London,4,Business Class,Couple Leisure,1,1.0
2,Boeing 777,2,April 2023,1.0,3,1.0,no,Seattle to Zagreb via London,3,Premium Economy,Couple Leisure,2,1.0
3,Boeing 777,1,April 2023,2.0,1,3.0,no,"Bangalore to Toronto via London,",2,Premium Economy,Family Leisure,1,
4,Dreamliner,1,February 2023,1.0,1,3.0,no,London to Denver,2,Economy Class,Family Leisure,2,1.0
5,A350,5,April 2023,4.0,4,3.0,yes,London to Hong Kong,4,Premium Economy,Solo Leisure,4,
6,,4,April 2023,1.0,1,3.0,no,Brussels to Los Angeles via London Heathrow,1,Economy Class,Couple Leisure,1,1.0
7,,5,March 2023,2.0,4,3.0,no,London to Denver,2,Economy Class,Family Leisure,1,1.0
8,,1,April 2023,1.0,2,1.0,no,Hong Kong to London,2,Economy Class,Solo Leisure,2,1.0
9,A320,3,April 2023,4.0,3,,no,Heathrow to Malaga,3,Business Class,Business,2,1.0
10,,1,April 2023,1.0,1,1.0,no,Dublin to London,1,Economy Class,Business,1,1.0
11,A350,1,April 2023,1.0,4,4.0,no,Las Vegas to London,1,Economy Class,Couple Leisure,1,1.0
12,Boeing 777,3,April 2023,2.0,2,3.0,no,London to Atlanta,4,Business Class,Couple Leisure,3,3.0
13,Boeing 787,2,April 2023,3.0,4,3.0,no,London to Hong Kong,2,Premium Economy,Business,3,5.0
14,,1,April 2023,5.0,1,5.0,no,Mumbai to Chicago via London,4,Economy Class,Family Leisure,1,1.0
15,Boeing 777,2,April 2023,2.0,3,2.0,no,London to New York,3,Business Class,Business,2,1.0
16,Boeing 777-200,5,March 2023,3.0,4,5.0,yes,Mumbai to London,4,Economy Class,Solo Leisure,5,5.0
17,,3,March 2023,3.0,3,1.0,no,Barcelona to London,3,Economy Class,Business,1,1.0
18,,1,March 2023,3.0,1,4.0,yes,Miami to Munich via London,3,Economy Class,Couple Leisure,1,2.0
19,A321Neo,4,March 2023,1.0,4,1.0,no,Cairo to London,1,Economy Class,Couple Leisure,2,1.0
